date,value
1979-03-01,10.06351
1979-04-01,4.30913
1979-05-01,3.41014
1979-06-01,0.55021
1979-07-01,4.96981
1979-08-01,4.28314
1979-09-01,10.46457
1979-10-01,3.63141
1979-11-01,3.01395
1979-12-01,2.54237
1980-01-01,8.66213
1980-02-01,3.97321
1980-03-01,-0.75455
1980-04-01,-4.62506
1980-05-01,-7.08556
1980-06-01,-2.00638
1980-07-01,0.30973
1980-08-01,-3.15607
1980-09-01,-4.24809
1980-10-01,3.50416
1980-11-01,3.36245
1980-12-01,2.52284
1981-01-01,0.12521
1981-02-01,6.18291
1981-03-01,12.2093
1981-04-01,13.79473
1981-05-01,15.01199
1981-06-01,12.33132
1981-07-01,8.16056
1981-08-01,16.25
1981-09-01,11.00266
1981-10-01,0.42319
1981-11-01,0.12674
1981-12-01,0.25456
1982-01-01,0.45852
1982-02-01,0.80873
1982-03-01,-0.75727
1982-04-01,1.32396
1982-05-01,7.08924
1982-06-01,1.90555
1982-07-01,1.06036
1982-08-01,-4.53149
1982-09-01,3.91687
1982-10-01,7.07965
1982-11-01,13.12236
1982-12-01,14.60008
1983-01-01,11.3278
1983-02-01,7.01966
1983-03-01,9.07631
1983-04-01,15.02654
1983-05-01,12.46106
1983-06-01,21.21951
1983-07-01,22.43745
1983-08-01,21.15849
1983-09-01,16.38462
1983-10-01,23.45533
1983-11-01,17.82917
1983-12-01,21.23338
1984-01-01,25.53112
1984-02-01,23.2009
1984-03-01,21.06038
1984-04-01,19.27583
1984-05-01,18.31717
1984-06-01,16.06304
1984-07-01,12.55768
1984-08-01,12.7822
1984-09-01,14.0119
1984-10-01,9.34013
1984-11-01,13.45362
1984-12-01,9.68626
1985-01-01,8.52138
1985-02-01,11.01308
1985-03-01,13.6253
1985-04-01,8.83929
1985-05-01,12.46708
1985-06-01,6.81884
1985-07-01,10.19034
1985-08-01,14.8955
1985-09-01,22.52174
1985-10-01,10.55394
1985-11-01,6.25
1985-12-01,8.63649
1986-01-01,9.82216
1986-02-01,6.71417
1986-03-01,2.81049
1986-04-01,10.47307
1986-05-01,7.78038
1986-06-01,9.19665
1986-07-01,10.52352
1986-08-01,11.299
1986-09-01,15.16442
1986-10-01,14.68882
1986-11-01,10.29412
1986-12-01,19.75971
1987-01-01,-0.42352
1987-02-01,9.65588
1987-03-01,11.63759
1987-04-01,8.31683
1987-05-01,4.7803
1987-06-01,10.40377
1987-07-01,8.77615
1987-08-01,7.94199
1987-09-01,-5.44371
1987-10-01,1.88549
1987-11-01,6.52381
1987-12-01,-1.94237
1988-01-01,17.66325
1988-02-01,9.76581
1988-03-01,10.16791
1988-04-01,6.90128
1988-05-01,9.37788
1988-06-01,7.08997
1988-07-01,4.42087
1988-08-01,0.25592
1988-09-01,1.8249
1988-10-01,7.85376
1988-11-01,7.68887
1988-12-01,8.59817
1989-01-01,5.50712
1989-02-01,2.68829
1989-03-01,2.01101
1989-04-01,6.96879
1989-05-01,2.71751
1989-06-01,3.07982
1989-07-01,5.29213
1989-08-01,10.33823
1989-09-01,6.84873
1989-10-01,3.34798
1989-11-01,1.72271
1989-12-01,-1.46322
1990-01-01,8.10157
1990-02-01,5.11116
1990-03-01,4.54451
1990-04-01,1.05915
1990-05-01,1.57916
1990-06-01,0.46748
1990-07-01,-0.22115
1990-08-01,-5.66802
1990-09-01,-1.13818
1990-10-01,-1.57927
1990-11-01,-1.5099
1990-12-01,-3.58015
1991-01-01,-15.60403
1991-02-01,-7.68927
1991-03-01,-1.66733
1991-04-01,-6.18944
1991-05-01,-4.40137
1991-06-01,-3.33805
1991-07-01,-2.19625
1991-08-01,-1.94155
1991-09-01,-1.45425
1991-10-01,-2.46863
1991-11-01,-1.11871
1991-12-01,1.4557
1992-01-01,9.47647
1992-02-01,7.34475
