date,value
2000-01-01,8.853113
2000-02-01,7.862087
2000-03-01,6.9233080000000005
2000-04-01,6.774717
2000-05-01,6.46562
2000-06-01,6.50879
2000-07-01,7.057233999999999
2000-08-01,7.855683
2000-09-01,7.769289
2000-10-01,6.650557000000001
2000-11-01,5.985093
2000-12-01,5.974593
2001-01-01,5.922135
2001-02-01,6.271204
2001-03-01,6.440733
2001-04-01,6.609964
2001-05-01,7.036396000000001
2001-06-01,7.346000999999999
2001-07-01,7.049774
2001-08-01,6.405112
2001-09-01,6.458254
2001-10-01,7.191925
2001-11-01,7.608747
2001-12-01,7.673437
2002-01-01,7.619886
2002-02-01,7.51267
2002-03-01,7.748400999999999
2002-04-01,7.984416
2002-05-01,7.76913
2002-06-01,7.661417999999999
2002-07-01,7.513039
2002-08-01,7.459699
2002-09-01,7.93112
2002-10-01,8.445175
2002-11-01,10.93262
2002-12-01,12.53027
2003-01-01,14.46698
2003-02-01,15.8473
2003-03-01,16.573079999999997
2003-04-01,16.7694
2003-05-01,17.23585
2003-06-01,16.57056
2003-07-01,15.42979
2003-08-01,15.07445
2003-09-01,15.1433
2003-10-01,13.98368
2003-11-01,11.01845
2003-12-01,9.300513
2004-01-01,7.707317999999999
2004-02-01,6.688916000000001
2004-03-01,5.887647
2004-04-01,5.258418
2004-05-01,5.153546
2004-06-01,6.059129
2004-07-01,6.810486
2004-08-01,7.182932000000001
2004-09-01,6.704476
2004-10-01,6.864244
2004-11-01,7.23683
2004-12-01,7.599496
2005-01-01,7.407309
2005-02-01,7.386301
2005-03-01,7.535836
2005-04-01,8.07143
2005-05-01,8.050132000000001
2005-06-01,7.266919000000001
2005-07-01,6.565664999999999
2005-08-01,6.01558
2005-09-01,6.036601999999999
2005-10-01,6.36364
2005-11-01,6.215761
2005-12-01,5.689227
2006-01-01,5.699946
2006-02-01,5.510759999999999
2006-03-01,5.322151
2006-04-01,4.633167
2006-05-01,4.227167
2006-06-01,4.029208000000001
2006-07-01,3.966753
2006-08-01,3.842114
2006-09-01,3.697184
2006-10-01,3.264889
2006-11-01,3.018236
2006-12-01,3.141516
2007-01-01,2.987813
2007-02-01,3.018564
2007-03-01,2.9570380000000003
2007-04-01,2.99818
2007-05-01,3.18318
2007-06-01,3.689806
2007-07-01,3.741742
2007-08-01,4.177372
2007-09-01,4.146188
2007-10-01,4.1152120000000005
2007-11-01,4.1878
2007-12-01,4.457659
2008-01-01,4.56148
2008-02-01,4.613512999999999
2008-03-01,4.728311
2008-04-01,5.041627
2008-05-01,5.576029
2008-06-01,6.060584
2008-07-01,6.367092
2008-08-01,6.165818
2008-09-01,6.250534
2008-10-01,6.40953
2008-11-01,6.388597
2008-12-01,5.902724
2009-01-01,5.839345
2009-02-01,5.902537000000001
2009-03-01,5.6071230000000005
2009-04-01,5.533778
2009-05-01,5.198622
2009-06-01,4.801566
2009-07-01,4.499396
2009-08-01,4.363852
2009-09-01,4.343101
2009-10-01,4.166391
2009-11-01,4.218346
2009-12-01,4.31165
2010-01-01,4.592086
2010-02-01,4.8311
2010-03-01,5.166003
2010-04-01,5.260261
2010-05-01,5.218403
2010-06-01,4.8410910000000005
2010-07-01,4.600534
2010-08-01,4.485544
2010-09-01,4.704219999999999
2010-10-01,5.195061
2010-11-01,5.634848000000001
2010-12-01,5.908689
2011-01-01,5.992987
2011-02-01,6.014171
2011-03-01,6.298987
2011-04-01,6.510257
2011-05-01,6.552782
2011-06-01,6.712551
2011-07-01,6.872599
2011-08-01,7.225225999999999
2011-09-01,7.310902
2011-10-01,6.970099
2011-11-01,6.641309
2011-12-01,6.503353
2012-01-01,6.217998000000001
2012-02-01,5.849086
2012-03-01,5.239992
2012-04-01,5.104166
2012-05-01,4.988867
2012-06-01,4.915425
2012-07-01,5.198414
2012-08-01,5.240384
2012-09-01,5.282203
2012-10-01,5.449829
2012-11-01,5.533837
2012-12-01,5.838595
2013-01-01,6.154336
2013-02-01,6.312915
2013-03-01,6.588766000000001
2013-04-01,6.493514
2013-05-01,6.504135
2013-06-01,6.695916
2013-07-01,6.270692
2013-08-01,6.090762000000001
2013-09-01,5.858621
2013-10-01,5.837485
2013-11-01,5.774407
2013-12-01,5.910683000000001
2014-01-01,5.585065
2014-02-01,5.679518
2014-03-01,6.152891
2014-04-01,6.279552
2014-05-01,6.374855999999999
2014-06-01,6.523283
2014-07-01,6.502234
2014-08-01,6.51297
2014-09-01,6.746474
2014-10-01,6.58724
2014-11-01,6.555291
2014-12-01,6.407471
2015-01-01,7.137737
2015-02-01,7.701587
2015-03-01,8.128505
2015-04-01,8.171486999999999
2015-05-01,8.472942
2015-06-01,8.89443
2015-07-01,9.558393
2015-08-01,9.525477
2015-09-01,9.492789
2015-10-01,9.928892
2015-11-01,10.47577
2015-12-01,10.67303
2016-01-01,10.7058
2016-02-01,10.35588
2016-03-01,9.386373
2016-04-01,9.277795
2016-05-01,9.32119
2016-06-01,8.843747
2016-07-01,8.735771000000002
2016-08-01,8.974497999999999
2016-09-01,8.475968
2016-10-01,7.873671000000001
2016-11-01,6.987383
2016-12-01,6.287988
2017-01-01,5.354015
2017-02-01,4.758907
2017-03-01,4.571105
2017-04-01,4.082517
2017-05-01,3.597256
2017-06-01,2.998557
2017-07-01,2.711626
2017-08-01,2.455909
2017-09-01,2.537691
2017-10-01,2.701321
2017-11-01,2.803785
2017-12-01,2.947421
2018-01-01,2.855116
2018-02-01,2.844894
2018-03-01,2.680803
2018-04-01,2.762797
2018-05-01,2.855013
2018-06-01,4.391104
2018-07-01,4.484844
2018-08-01,4.193016
2018-09-01,4.525976
2018-10-01,4.557029
2018-11-01,4.046031
2018-12-01,3.745581
2019-01-01,3.776528
2019-02-01,3.890225
2019-03-01,4.575284
2019-04-01,4.940506
2019-05-01,4.658258
2019-06-01,3.366267
2019-07-01,3.22202
2019-08-01,3.4286160000000003
2019-09-01,2.893425
2019-10-01,2.535029
2019-11-01,3.274906
2019-12-01,4.306151
2020-01-01,4.191771
2020-02-01,4.005114
2020-03-01,3.3031580000000003
2020-04-01,2.399279
2020-05-01,1.877727
2020-06-01,2.132417
2020-07-01,2.305625
2020-08-01,2.4384650000000003
2020-09-01,3.135329
2020-10-01,3.91835
2020-11-01,4.311224
2020-12-01,4.517457
2021-01-01,4.559198
2021-02-01,5.195379
2021-03-01,6.099479
2021-04-01,6.759303999999999
2021-05-01,8.056066
2021-06-01,8.347073
2021-07-01,8.994823
2021-08-01,9.679773
2021-09-01,10.2464
2021-10-01,10.67262
2021-11-01,10.7385
2021-12-01,10.06098
2022-01-01,10.37943
2022-02-01,10.54366
2022-03-01,11.29941
2022-04-01,12.13163
2022-05-01,11.73121
2022-06-01,11.88687
2022-07-01,10.0694
2022-08-01,8.727291000000001
2022-09-01,7.168825
2022-10-01,6.470372
2022-11-01,5.900729
2022-12-01,5.785093
2023-01-01,5.774497
2023-02-01,5.596405
2023-03-01,4.65078
2023-04-01,4.184788
2023-05-01,3.935829
2023-06-01,3.161474
2023-07-01,3.992389
2023-08-01,4.608169999999999
2023-09-01,5.1852800000000006
2023-10-01,4.819185
2023-11-01,4.683566000000001
2023-12-01,4.62119
2024-01-01,4.506791000000001
2024-02-01,4.496371
2024-03-01,3.925612
2024-04-01,3.687975
2024-05-01,3.926017
2024-06-01,4.227659
2024-07-01,4.498391000000001
2024-08-01,4.2377400000000005
2024-09-01,4.424788
2024-10-01,4.758112000000001
