date,value
1979-06-01,13.73639
1979-07-01,13.44575
1979-08-01,15.38631
1979-09-01,15.09311
1979-10-01,15.56614
1979-11-01,15.25027
1979-12-01,13.94715
1980-01-01,15.72353
1980-02-01,15.6721
1980-03-01,15.27013
1980-04-01,15.55919
1980-05-01,13.4161
1980-06-01,10.63123
1980-07-01,11.53921
1980-08-01,10.53033
1980-09-01,9.08749
1980-10-01,10.15362
1980-11-01,8.7969
1980-12-01,9.88404
1981-01-01,10.03248
1981-02-01,9.65727
1981-03-01,9.32083
1981-04-01,9.96108
1981-05-01,9.56921
1981-06-01,10.66949
1981-07-01,9.85446
1981-08-01,8.69865
1981-09-01,8.84788
1981-10-01,7.72109
1981-11-01,7.64396
1981-12-01,7.20268
1982-01-01,4.50968
1982-02-01,4.7371
1982-03-01,3.36515
1982-04-01,2.57442
1982-05-01,2.90042
1982-06-01,2.15483
1982-07-01,4.166
1982-08-01,2.73103
1982-09-01,2.93139
1982-10-01,3.64698
1982-11-01,3.36121
1982-12-01,2.9375
1983-01-01,2.79303
1983-02-01,1.47653
1983-03-01,3.78776
1983-04-01,4.36078
1983-05-01,5.33981
1983-06-01,6.42188
1983-07-01,5.16396
1983-08-01,6.36785
1983-09-01,6.34236
1983-10-01,5.68165
1983-11-01,6.33588
1983-12-01,6.13236
1984-01-01,8.45672
1984-02-01,7.44371
1984-03-01,6.68074
1984-04-01,7.71081
1984-05-01,6.98677
1984-06-01,7.3117
1984-07-01,4.93953
1984-08-01,4.89683
1984-09-01,5.92067
1984-10-01,5.03027
1984-11-01,5.77172
1984-12-01,4.81979
1985-01-01,3.72977
1985-02-01,6.30078
1985-03-01,5.23042
1985-04-01,5.21909
1985-05-01,4.75198
1985-06-01,2.66794
1985-07-01,4.85976
1985-08-01,5.44397
1985-09-01,4.55105
1985-10-01,5.1187
1985-11-01,5.22601
1985-12-01,6.27644
1986-01-01,6.43148
1986-02-01,4.15717
1986-03-01,4.33907
1986-04-01,0.98143
1986-05-01,1.94986
1986-06-01,2.91844
1986-07-01,2.17161
1986-08-01,0.95901
1986-09-01,1.05882
1986-10-01,1.60574
1986-11-01,0.0
1986-12-01,0.59058
1987-01-01,-0.19123
1987-02-01,3.74662
1987-03-01,3.4505
1987-04-01,6.25164
1987-05-01,5.69867
1987-06-01,5.58073
1987-07-01,5.92276
1987-08-01,7.02668
1987-09-01,6.35105
1987-10-01,5.89747
1987-11-01,6.57895
1987-12-01,5.93491
1988-01-01,6.2971
1988-02-01,3.3383
1988-03-01,5.82452
1988-04-01,4.9691
1988-05-01,5.16987
1988-06-01,5.11405
1988-07-01,5.79958
1988-08-01,5.9696
1988-09-01,6.54342
1988-10-01,7.24339
1988-11-01,7.48003
1988-12-01,6.87952
1989-01-01,8.4595
1989-02-01,8.14219
1989-03-01,6.37422
1989-04-01,8.40791
